Nazwa spółki,Kurs otwarcia,Kurs min,Kurs max,Kurs zamknięcia,Zmiana kursu w procent,Wolumen obrotu w szt,Lista transkacji,Wartość obrotu w tys,Dzień
PKNORLEN,"26,9000","27,0000","26,2000","26,7000","5,60",1104790,1718,"39414,08",2000-01-03 00:00:00
PKNORLEN,"25,5000","26,0000","25,4000","25,6000","-2,30",1356054,2344,"43354,52",2000-01-04 00:00:00
PKNORLEN,"25,2000","25,5000","25,0000","25,3000","-5,00",1869432,2551,"57563,96",2000-01-05 00:00:00
PKNORLEN,"25,1000","25,9000","25,1000","25,8000","2,80",1129966,1777,"37650,06",2000-01-06 00:00:00
PKNORLEN,"26,8000","27,3000","26,6000","27,0000","3,10",2879179,3206,"23835,66",2000-01-07 00:00:00
PKNORLEN,"27,8000","28,4000","27,3000","27,3000","3,40",3034484,1255,"49879,39",2000-01-10 00:00:00
PKNORLEN,"26,4000","27,1000","26,3000","26,8000","-0,70",1158529,789,"37461,52",2000-01-11 00:00:00
PKNORLEN,"26,4000","26,7000","26,3000","26,7000","-2,60",939589,563,"31249,62",2000-01-12 00:00:00
PKNORLEN,"27,3000","27,7000","27,2000","27,5000","2,30",1472400,922,"67872,00",2000-01-13 00:00:00
PKNORLEN,"27,3000","27,9000","27,0000","27,3000","2,60",2766845,4016,"83364,30",2000-01-14 00:00:00
PKNORLEN,"27,0000","27,3000","27,0000","27,1000","-1,80",1216408,486,"35693,74",2000-01-17 00:00:00
PKNORLEN,"27,3000","27,3000","26,3000","26,5000","0,70",856937,459,"32004,25",2000-01-18 00:00:00
PKNORLEN,"26,3000","26,7000","26,1000","26,6000","-4,00",1064637,1681,"31819,40",2000-01-19 00:00:00
PKNORLEN,"26,6000","27,1000","26,4000","27,0000","2,30",1488080,387,"42644,17",2000-01-20 00:00:00
PKNORLEN,"27,1000","27,3000","27,0000","27,2000","0,40",1081790,1261,"43087,15",2000-01-21 00:00:00
PKNORLEN,"26,6000","26,6000","26,0000","26,4000","0,00",814494,1269,"25544,85",2000-01-24 00:00:00
PKNORLEN,"25,5000","25,5000","24,5000","25,4000","-4,10",1329031,1955,"39442,40",2000-01-25 00:00:00
PKNORLEN,"25,2000","25,6000","25,1000","25,4000","-1,20",956725,1610,"30770,83",2000-01-26 00:00:00
PKNORLEN,"25,3000","25,8000","25,3000","25,8000","-0,80",685378,1066,"9544,65",2000-01-27 00:00:00
PKNORLEN,"26,1000","26,4000","25,2000","25,5000","2,80",718450,410,"25533,60",2000-01-28 00:00:00
PKNORLEN,"25,1000","25,2000","25,0000","25,1000","-2,30",619497,1116,"18747,15",2000-01-31 00:00:00
PKNORLEN,"25,9000","26,1000","24,7000","24,8000","1,20",986869,1331,"9273,29",2000-02-01 00:00:00
PKNORLEN,"24,7000","25,1000","24,6000","25,0000","-2,70",1119387,1638,"34546,80",2000-02-02 00:00:00
PKNORLEN,"25,7000","26,1000","25,2000","25,9000","1,20",1286765,842,"53296,80",2000-02-03 00:00:00
PKNORLEN,"26,5000","26,5000","25,4000","25,6000","4,00",990461,433,"27180,46",2000-02-04 00:00:00
PKNORLEN,"25,2000","25,7000","25,1000","25,3000","-2,70",855721,399,"25150,55",2000-02-07 00:00:00
PKNORLEN,"25,2000","25,2000","24,8000","25,0000","-0,80",1232197,662,"40256,95",2000-02-08 00:00:00
PKNORLEN,"25,3000","25,3000","24,4000","24,5000","-0,40",2136237,2376,"66829,74",2000-02-09 00:00:00
PKNORLEN,"24,2000","24,5000","24,0000","24,3000","-3,20",980685,2027,"26352,25",2000-02-10 00:00:00
PKNORLEN,"23,5000","23,9000","23,1000","23,3000","-1,60",2368369,2084,"64558,95",2000-02-11 00:00:00
PKNORLEN,"23,0000","24,2000","22,8000","24,0000","-5,00",1776213,2316,"41147,75",2000-02-14 00:00:00
PKNORLEN,"24,3000","24,6000","24,1000","24,2000","9,60",1785337,2148,"61354,35",2000-02-15 00:00:00
PKNORLEN,"24,0000","24,0000","23,3000","23,6000","-2,00",1235723,1326,"31813,50",2000-02-16 00:00:00
PKNORLEN,"23,3000","24,5000","23,3000","24,5000","-3,70",1151674,1524,"41911,05",2000-02-17 00:00:00
PKNORLEN,"24,6000","25,1000","24,5000","24,7000","3,00",2095964,1605,"64438,35",2000-02-18 00:00:00
PKNORLEN,"24,0000","24,3000","23,9000","24,2000","-3,30",755979,1262,"24007,65",2000-02-21 00:00:00
PKNORLEN,"24,6000","24,8000","23,7000","23,7000","3,00",799825,1195,"26189,60",2000-02-22 00:00:00
PKNORLEN,"23,3000","24,1000","23,1000","23,5000","-1,70",1212286,1497,"46125,30",2000-02-23 00:00:00
PKNORLEN,"23,3000","23,7000","22,8000","23,0000","-2,10",1391965,1680,"35811,05",2000-02-24 00:00:00
PKNORLEN,"22,4000","23,0000","22,4000","22,7000","-1,30",843345,1817,"19611,87",2000-02-25 00:00:00
PKNORLEN,"22,4000","22,7000","21,7000","22,3000","-4,80",1347570,1953,"34360,05",2000-02-28 00:00:00
PKNORLEN,"22,6000","22,6000","22,2000","22,4000","3,70",597271,1187,"15822,25",2000-02-29 00:00:00
PKNORLEN,"22,5000","22,7000","22,2000","22,5000","-0,90",898877,1431,"24980,72",2000-03-01 00:00:00
PKNORLEN,"23,2000","23,4000","22,8000","23,2000","0,00",974747,1420,"32472,45",2000-03-02 00:00:00
PKNORLEN,"23,5000","23,7000","23,2000","23,7000","3,60",712182,1121,"9363,43",2000-03-03 00:00:00
PKNORLEN,"24,2000","24,2000","23,4000","23,5000","3,00",662262,1327,"19200,58",2000-03-06 00:00:00
PKNORLEN,"23,1000","23,5000","23,0000","23,3000","-2,10",558540,1479,"6170,63",2000-03-07 00:00:00
PKNORLEN,"22,9000","23,1000","22,7000","22,9000","-4,30",651759,992,"16058,85",2000-03-08 00:00:00
PKNORLEN,"23,0000","23,2000","22,5000","22,5000","3,10",568505,811,"8932,23",2000-03-09 00:00:00
PKNORLEN,"23,0000","23,0000","22,7000","22,8000","0,90",572120,790,"16303,72",2000-03-10 00:00:00
PKNORLEN,"22,6000","22,9000","21,9000","22,2000","-3,00",1098005,1667,"29714,80",2000-03-13 00:00:00
PKNORLEN,"22,8000","23,2000","22,2000","23,2000","-0,90",2350186,1849,"53423,37",2000-03-14 00:00:00
PKNORLEN,"22,5000","22,9000","22,4000","22,5000","1,30",798148,927,"24596,55",2000-03-15 00:00:00
PKNORLEN,"22,8000","23,3000","22,7000","23,0000","2,20",1060486,1008,"26153,60",2000-03-16 00:00:00
PKNORLEN,"23,5000","23,5000","23,2000","23,3000","0,90",1422113,1471,"50953,31",2000-03-17 00:00:00
PKNORLEN,"23,1000","23,2000","23,0000","23,1000","-0,90",565533,810,"14995,09",2000-03-20 00:00:00
PKNORLEN,"22,9000","23,2000","22,7000","22,9000","-1,30",442960,726,"7864,16",2000-03-21 00:00:00
PKNORLEN,"23,5000","24,3000","23,5000","24,0000","2,20",1590628,1533,"44733,95",2000-03-22 00:00:00
PKNORLEN,"24,3000","24,4000","24,0000","24,2000","2,10",1323582,1902,"33927,94",2000-03-23 00:00:00
PKNORLEN,"24,4000","24,5000","24,1000","24,3000","1,70",1224277,1410,"32343,52",2000-03-24 00:00:00
PKNORLEN,"24,0000","24,1000","23,8000","23,8000","-0,40",520237,828,"13415,20",2000-03-27 00:00:00
PKNORLEN,"23,7000","24,0000","23,7000","24,0000","-1,20",830048,1166,"20821,05",2000-03-28 00:00:00
PKNORLEN,"23,8000","24,0000","23,6000","23,8000","0,00",706267,987,"19668,82",2000-03-29 00:00:00
PKNORLEN,"23,7000","23,7000","23,1000","23,3000","-0,40",379844,729,"6804,04",2000-03-30 00:00:00
PKNORLEN,"23,3000","23,3000","23,0000","23,3000","-3,80",409289,739,"7074,29",2000-03-31 00:00:00
PKNORLEN,"23,0000","23,0000","22,6000","22,6000","1,70",416884,746,"5399,97",2000-04-03 00:00:00
