Nazwa spółki,Kurs otwarcia,Kurs min,Kurs max,Kurs zamknięcia,Zmiana kursu w procent,Wolumen obrotu w szt,Lista transkacji,Wartość obrotu w tys,Dzień
ZEPAK,"26,2000","26,2900","25,9000","25,9000","-1,15",3031258,2127,"79150,37",2012-10-30 00:00:00
ZEPAK,"25,9000","26,0200","25,7000","25,7000","-0,77",382811,580,"9908,51",2012-10-31 00:00:00
ZEPAK,"25,7000","25,7000","25,3000","25,4000","-1,17",279161,688,"7127,96",2012-11-02 00:00:00
ZEPAK,"25,3000","25,3800","25,3000","25,3000","-0,39",105699,458,"2675,11",2012-11-05 00:00:00
ZEPAK,"25,3000","25,6400","25,3000","25,5700","1,07",59441,261,"1509,64",2012-11-06 00:00:00
ZEPAK,"25,6800","25,7900","25,5800","25,5800","0,04",45605,214,"1170,74",2012-11-07 00:00:00
ZEPAK,"25,5800","25,6500","25,5700","25,6500","0,27",31877,166,"816,20",2012-11-08 00:00:00
ZEPAK,"25,6500","25,6700","25,5300","25,6000","-0,19",45164,173,"1157,26",2012-11-09 00:00:00
ZEPAK,"25,6000","25,6600","25,5500","25,5500","-0,20",77937,152,"1994,97",2012-11-12 00:00:00
ZEPAK,"25,5500","25,6500","25,5500","25,6200","0,27",232231,344,"5940,52",2012-11-13 00:00:00
ZEPAK,"25,7000","25,8600","25,7000","25,8400","0,86",114436,259,"2953,48",2012-11-14 00:00:00
ZEPAK,"25,8800","26,0000","25,8000","25,8500","0,04",77634,185,"2010,97",2012-11-15 00:00:00
ZEPAK,"25,8900","26,0700","25,8900","26,0200","0,66",87926,158,"2286,03",2012-11-16 00:00:00
ZEPAK,"26,0000","26,0700","25,8500","25,9500","-0,27",120784,139,"3139,59",2012-11-19 00:00:00
ZEPAK,"25,9000","25,9300","25,7000","25,7200","-0,89",33720,161,"870,18",2012-11-20 00:00:00
ZEPAK,"25,6500","25,6900","25,6000","25,6100","-0,43",25384,120,"650,10",2012-11-21 00:00:00
ZEPAK,"25,6000","26,2800","25,5100","26,2600","2,54",567454,450,"14871,30",2012-11-22 00:00:00
